Customer ID,Frequency,TotalSpend,Recency
101,14,1120.2,25.0
102,11,780.5,18.0
103,9,510.75,42.0
104,19,1480.3,12.0
105,13,720.4,55.0
106,8,440.8,22.0
107,15,1150.6,28.0
108,12,800.9,14.0
109,10,495.25,40.0
110,21,1520.1,9.0
111,11,690.3,34.0
112,7,470.5,20.0
113,16,1200.8,21.0
114,13,820.75,15.0
115,9,530.4,38.0
116,18,1360.2,11.0
117,12,700.6,48.0
118,8,450.9,25.0
119,14,1170.3,29.0
120,11,790.2,16.0
121,10,505.75,41.0
122,20,1470.5,13.0
123,13,710.4,54.0
124,7,430.8,23.0
125,15,1140.6,27.0
126,12,810.9,13.0
127,9,485.25,39.0
128,21,1500.1,10.0
129,10,670.3,33.0
130,8,460.5,19.0
131,16,1190.8,20.0
132,13,830.75,14.0
133,9,520.4,37.0
134,18,1370.2,10.0
135,12,690.6,47.0
136,8,440.9,24.0
137,14,1160.3,22.0
138,11,800.2,17.0
139,10,500.75,40.0
140,20,1460.5,12.0
141,13,700.4,53.0
142,7,420.8,21.0
143,15,1130.6,26.0
144,12,820.9,12.0
145,9,480.25,38.0
146,21,1490.1,9.0
147,10,680.3,32.0
148,8,470.5,18.0
149,16,1180.8,19.0
150,11,790.2,15.0
151,10,505.75,39.0
152,20,1470.5,13.0
153,13,710.4,54.0
154,7,430.8,23.0
155,15,1140.6,27.0
156,12,810.9,13.0
157,9,485.25,39.0
158,21,1500.1,10.0
159,10,670.3,33.0
160,8,460.5,19.0
161,16,1190.8,20.0
162,13,830.75,14.0
163,9,520.4,37.0
164,18,1370.2,10.0
165,12,690.6,47.0
166,8,440.9,24.0
167,14,1160.3,22.0
168,11,800.2,17.0
169,10,500.75,40.0
170,20,1460.5,12.0
171,13,700.4,53.0
172,7,420.8,21.0
173,15,1130.6,26.0
174,12,820.9,12.0
175,9,480.25,38.0
176,21,1490.1,9.0
177,10,680.3,32.0
178,8,470.5,18.0
179,16,1180.8,19.0
180,11,790.2,15.0
181,10,505.75,39.0
182,20,1470.5,13.0
183,13,710.4,54.0
184,7,430.8,23.0
185,15,1140.6,27.0
186,12,810.9,13.0
187,9,485.25,39.0
188,21,1500.1,10.0
189,10,670.3,33.0
190,8,460.5,19.0
191,16,1190.8,20.0
192,13,830.75,14.0
193,9,520.4,37.0
194,18,1370.2,10.0
195,12,690.6,47.0
196,8,440.9,24.0
197,14,1160.3,22.0
198,11,800.2,17.0
199,10,500.75,40.0
200,20,1460.5,12.0
201,13,700.4,53.0
202,7,420.8,21.0
203,15,1130.6,26.0
204,12,820.9,12.0
205,9,480.25,38.0
206,21,1490.1,9.0
207,10,680.3,32.0
208,8,470.5,18.0
209,16,1180.8,19.0
210,11,790.2,15.0
211,10,505.75,39.0
212,20,1470.5,13.0
213,13,710.4,54.0
214,7,430.8,23.0
215,15,1140.6,27.0
216,12,810.9,13.0
217,9,485.25,39.0
218,21,1500.1,10.0
219,10,670.3,33.0
220,8,460.5,19.0
221,16,1190.8,20.0
222,13,830.75,14.0
223,9,520.4,37.0
224,18,1370.2,10.0
225,12,690.6,47.0
226,8,440.9,24.0
227,14,1160.3,22.0
228,11,800.2,17.0
229,10,500.75,40.0
230,20,1460.5,12.0
231,13,700.4,53.0
232,7,420.8,21.0
233,15,1130.6,26.0
234,12,820.9,12.0
235,9,480.25,38.0
236,21,1490.1,9.0
237,10,680.3,32.0
238,8,470.5,18.0
239,16,1180.8,19.0
240,11,790.2,15.0
241,10,505.75,39.0
242,20,1470.5,13.0
243,13,710.4,54.0
244,7,430.8,23.0
245,15,1130.6,26.0
246,12,820.9,12.0
247,9,480.25,38.0
248,21,1490.1,9.0
249,10,680.3,32.0
250,8,470.5,18.0
251,16,1180.8,19.0
252,11,790.2,15.0
253,10,505.75,39.0
254,20,1470.5,13.0
255,13,710.4,54.0
256,7,430.8,23.0
257,15,1140.6,27.0
258,12,810.9,13.0
259,9,485.25,39.0
260,21,1500.1,10.0
261,10,670.3,33.0
262,8,460.5,19.0
263,16,1190.8,20.0
264,13,830.75,14.0
265,9,520.4,37.0
266,18,1370.2,10.0
267,12,690.6,47.0
268,8,440.9,24.0
269,14,1160.3,22.0
270,11,800.2,17.0
271,10,500.75,40.0
272,20,1460.5,12.0
273,13,700.4,53.0
274,7,430.8,23.0
275,15,1140.6,27.0
276,12,820.9,12.0
277,9,480.25,38.0
278,21,1490.1,9.0
279,10,680.3,32.0
280,8,470.5,18.0
281,16,1180.8,19.0
282,11,790.2,15.0
283,10,505.75,39.0
284,20,1470.5,13.0
285,13,710.4,54.0
286,7,430.8,23.0
287,15,1130.6,26.0
288,12,820.9,13.0
289,9,485.25,39.0
290,21,1500.1,10.0
291,10,670.3,33.0
292,8,460.5,19.0
293,16,1190.8,20.0
294,13,830.75,14.0
295,9,520.4,37.0
296,18,1370.2,10.0
297,12,690.6,47.0
298,8,440.9,24.0
299,14,1160.3,22.0
300,11,800.2,17.0
301,19,1420.8,11.0
302,14,730.4,50.0
303,7,450.6,21.0
304,17,1210.6,18.0
305,11,780.9,16.0
306,10,495.25,35.0
307,18,1390.2,9.0
308,12,670.6,46.0
309,8,460.9,25.0
310,14,1170.3,21.0
311,11,810.2,14.0
312,9,515.75,38.0
313,20,1450.5,12.0
314,13,690.4,52.0
315,7,420.8,24.0
316,15,1130.6,26.0
317,12,820.9,13.0
318,9,480.25,39.0
319,21,1490.1,9.0
320,10,680.3,32.0
321,8,470.5,18.0
322,16,1180.8,19.0
323,11,790.2,15.0
324,10,505.75,39.0
325,20,1470.5,13.0
326,13,710.4,54.0
327,7,430.8,23.0
328,15,1140.6,27.0
329,12,820.9,13.0
330,9,485.25,39.0
331,21,1500.1,10.0
332,10,670.3,33.0
333,8,460.5,19.0
334,16,1190.8,20.0
335,13,830.75,14.0
336,9,520.4,37.0
337,18,1370.2,10.0
338,12,690.6,47.0
339,8,440.9,24.0
340,14,1160.3,22.0
341,11,800.2,17.0
342,9,525.75,40.0
343,20,1460.5,11.0
344,13,720.4,55.0
345,7,440.8,25.0
346,15,1150.6,28.0
347,12,830.9,14.0
348,9,490.25,40.0
349,21,1480.1,10.0
350,10,690.3,34.0
351,8,480.5,20.0
352,16,1170.8,21.0
353,11,790.2,15.0
354,10,510.75,41.0
355,19,1440.5,12.0
356,13,700.4,56.0
357,7,410.8,26.0
358,15,1160.6,29.0
359,12,810.9,14.0
360,9,495.25,41.0
361,21,1490.1,10.0
362,10,660.3,35.0
363,8,430.5,21.0
364,16,1200.8,22.0
365,11,780.2,16.0
366,10,505.75,42.0
367,20,1460.5,13.0
368,13,710.4,57.0
369,7,450.8,24.0
370,15,1140.6,30.0
371,12,800.9,17.0
372,9,475.25,42.0
373,21,1480.1,11.0
374,10,660.3,36.0
375,8,470.5,22.0
376,16,1190.8,23.0
377,11,770.2,18.0
378,10,515.75,43.0
379,19,1450.5,12.0
380,13,710.4,58.0
381,7,430.8,27.0
382,15,1160.6,31.0
383,12,820.9,15.0
384,9,495.25,43.0
385,21,1490.1,10.0
386,10,660.3,37.0
387,8,440.5,23.0
388,16,1200.8,24.0
389,11,780.2,16.0
390,10,505.75,44.0
391,20,1460.5,13.0
392,13,710.4,59.0
393,7,450.8,28.0
394,15,1140.6,32.0
395,12,800.9,17.0
396,9,475.25,44.0
397,21,1480.1,12.0
398,10,660.3,38.0
399,8,470.5,22.0
400,16,1190.8,25.0
401,11,800.2,18.0
402,10,515.75,45.0
403,19,1450.5,13.0
404,13,710.4,60.0
405,7,430.8,29.0
406,15,1160.6,33.0
407,12,820.9,16.0
408,9,495.25,45.0
409,21,1490.1,11.0
410,10,660.3,39.0
411,8,440.5,24.0
412,16,1200.8,25.0
413,11,780.2,17.0
414,10,505.75,46.0
415,20,1460.5,14.0
416,13,710.4,61.0
417,7,450.8,30.0
418,15,1140.6,34.0
419,12,800.9,19.0
420,9,475.25,46.0
421,21,1480.1,12.0
422,10,660.3,40.0
423,8,470.5,26.0
424,16,1190.8,27.0
425,11,780.2,18.0
426,10,515.75,47.0
427,19,1450.5,14.0
428,13,710.4,62.0
429,7,430.8,31.0
430,15,1160.6,35.0
431,12,820.9,20.0
432,9,495.25,47.0
433,21,1490.1,11.0
434,10,660.3,41.0
435,8,440.5,28.0
436,16,1200.8,28.0
437,11,780.2,19.0
438,10,505.75,48.0
439,20,1460.5,15.0
440,13,710.4,63.0
441,7,450.8,32.0
442,15,1140.6,36.0
443,12,800.9,20.0
444,9,475.25,48.0
445,21,1480.1,13.0
446,10,660.3,42.0
447,8,470.5,27.0
448,16,1190.8,28.0
449,11,780.2,21.0
450,10,515.75,49.0
